text	perspective_Gold	content_Gold	position_Gold	perspective_ChatGPT	content_ChatGPT	position_ChatGPT	content_LlamaChinese	position_LlamaChinese	perspective_LlamaChinese	content_Llama3	position_Llama3	perspective_Llama3
毕癞头还欲倔强，干白虹又是兜顶两拳，那毕癞头忍痛不过，只得跪下去，望众徒夫连连磕头。众徒夫都上来讨情，干白虹只得放手。那毕癞头便如离笼鸟雀，脱网鱼鳅，把双袖掩着头颅，没命的跑去了。干白虹还把案桌交椅，也打个粉破，方才住手。正是：p_s微权自恃敢行苛，不管愚夫积恨多。翻幸头颅皮血尽，从今打落疥虫窠。p_e却说毕癞头逃回，又羞又恼，头上的疮打得泥酱也似，脓血流了一身，好不疼痛。便把扇门板抬了，到州里告状。知州出堂验明，也大惊道：“徒夫敢如此猖獗！驿丞虽小，也系命官，田亩伤残，更关国课。难道没有王法？”	narrator	commentary	middle	narrator	commentary	middle	plot	beginning	narrator	commentary	middle	narrator
这座师一见干浚郊便搀住手道：“贤契青年美才，自是玉堂人物。老夫为朝廷得此佳士，可谓识人。尊公也在这里，请进内堂相见。”干浚郊听说，愕然不解。不知是老师认错了人，还是当真父亲在他衙里，心上好生不解，只得随之而进，正是：p_s空投山左认囚徒，走遍天涯泪欲枯。踏破铁鞋无觅处，得来全不费功夫。p_e你道这座师是谁？原来却是当初广东学院，曾为陈与权夤缘事败，同段学夫被逮进京的欧阳健。这欧阳健亏得与大理寺夏时同年，审雪了罪，补任御史道，历升太常寺卿。	narrator	commentary	middle	character	plot	middle	plot	beginning	narrator	commentary	middle	narrator
曾九功道：“此事令郎言之最详，恩嫂不必再说。不佞这番实实为此而来，尊嫂俟我下马之日，速投一纸呈状，用令郎出名，我自有手段断还恩嫂故业便了。今日微行至此，衙役已四散迎接，不好耽延，只得告别。直等事终之后，再尽衷曲。”说罢，别了两人，出门而去。正是：p_s十载云泥青眼留，詙来五马事微游。未凭熊轼临南面，先向云林谒女流。p_e曾九功择吉上任，父老遮道相迎，朱幡彩仗，极其严肃。因系翰林改调之官，声望愈加清贵。行过了香，升堂治事，真个吏行冰上，人在镜中。陈与权也来趋贺，曾九功不容相见。	narrator	commentary	middle	character	commentary	end	plot	beginning	narrator	commentary	middle	narrator
曾九功道：“吾兄乃世外豪杰，故放而不拘。小弟身为朝臣，所重者名教，所行者国法，自当各行其志，吾兄也不必来阻我。”欧阳健听了，不觉大笑道：“两君各执一理，所见皆是。但今日一番聚会，且开怀吃酒，闲话另日再说。”干白虹与曾九功大家笑了一笑，便不开口。正是：p_s豪杰高怀自出人，达人恩怨要分明。世间若果空恩怨，天下人心那得平。p_e是夜，四人直饮到天明，各各酩酊而散。曾九功便请干白虹到自己寓所，与儿子同住。干白虹甚喜，便辞了欧阳健，把行李搬到曾家作寓。其时欧阳健有一位女儿，年才十五，欲与干浚郊联姻，就托曾九功作伐。	narrator	commentary	middle	character	commentary	middle	plot	beginning	narrator	commentary	middle	narrator
曾九功道：“譬如禽兽，随地而宿。你负义忘恩，原与禽兽无异，有谁怜你？”叫皂隶逐他出去，许多衙役生生把陈与权叉出外厢，又一起公差赶入内室，将乔氏一把揪来，双双的推在门外。曾九功与厅县两官，一齐起身而去。正是：p_s当年漂泊苦无栖，今日依然复旧时。可惜半生空富贵，单单赢得一妖妻。p_e陈与权欲待再挨入去，争奈门已紧闭，只得与妻子大哭一场，含泪而走。陈与权道：“我如今且寻个人家安了身，慢慢再图地步便好。”乔氏道：“除非借亲戚人家，方有些体面。只是你外乡人，并无瓜葛，我家父母，早已去世，又无兄弟姐妹可以相依，如何是好？”	narrator	commentary	middle	narrator	character portraiture	middle	commentary	middle	character	commentary	middle	narrator
乔氏亦享用半生，吃不得恁般狼狈。不隔数日，相继饿死。可惜好个陈与权，枉费了数载机谋，依然死于南雄岭上，可知天道可还，报施最巧，只因他两人昧了一点本心，忘恩负义，遂有如此之报。诗云：p_s十年前在南雄岭，十年后向南雄住。中间数载享膏腴，不记前番风雪处。负他青眼十分恩，锱橐田园悉我踞。苍苍报施转睫间，来处来从去处去。p_e却说曾九功处置了陈与权，恢复了干家产业，并为周氏尼姑装佛造殿，恩怨已明，夙志既遂，便有急流涌退之意。未几，忽报干浚郊已中了第五名会魁，到得殿试后，又报了二甲第一，选授翰林院编修。	narrator	scene	middle	character	commentary	middle	commentary	middle	narrator	commentary	middle	narrator
少傅大喜，仍取眼前携的一块方玉书镇，递与道：“就此赋诗一首，无拘五七言。”少游携手接来看时，上雕着一个螭龙之小青玉书镇。少游即便拂着一幅花笺，拈笔起来，就像做现在一般，写的早已完，呈诗云：p_s玉螭千古镇诗书，好似鬼方宋代儒。曷不化龙行雨去，九天出入圣神俱。p_e谢少傅看毕，大惊道：“格高旨远，宿儒老师多恐不及。”孝廉道：“宋儒是传达圣道，后生学者岂敢容易诋斥。”少游道：“孔子一部《论语》，只教人以学问，从不言及性与天。子贡所言不可得而闻者，非大贤以上的资到，不能及也。	character	scene	middle	character	scene	middle	character portraiture	beginning	narrator	commentary	middle	character
楼上绣户半掩，楼前便是削砌洼庭，飞尘不到。粉墙外头列树着明花异卉。傍边又有一大盘陀白石，钉么造成的。盘石明润华丽，上可坐十数人。少游喝采道：“好盘石了！”石上徘徊数匝，诗兴发作，咏了杨柳春景一律。抽笔，碗口大的书于盘石上。诗云：p_s浅绿深黄二月时，傍帘流水一枝枝。舞风无力纤纤挂，带月留情细细垂。袅娜未堪持赠别，参差已是好相思。东皇若识侬青眼，不负春天几尺丝。p_e下书“咸宁解元杨少游题。”写毕，复朗吟一番，清音戛玉，宛如凤鸣丹穴，鹤唳中霄。忽闻“哑”的一声，楼上之绣户半启，帘中有一女子，年可十三四，生得：杏脸光含玉，春山眉戴青。秋波留淑意，隔帘环佩声。	character	character portraiture	middle	character	scene	middle	commentary	beginning	character	character portraiture	middle	character
自幼又学习经史，无书不览，过目成诵。尤工于诗章，风花雪月，口不停哦。睡醒茶余，手不停披。自念：“我以才貌，实不后人。若不遇有才有貌，如自己一般的第一等奇男子，宁可终身守闺，不可造次误了终身的事。”在闺每添了许多愁绪。大凡女人家再起不得这一点贪爱的念。若起了时，便就心猿意马，把捉不定。当下忽见杨少游风彩姿容，生得：p_s皎皎庞貌俊俏，宛然玉树临风。满目端明秀色，正是齿白唇红。p_e秦小姐心下想道：“这般玉琢金雕，神态仙模，决非尘俗之从。又有若此般诗才，可是才貌兼备。闺里体面，纵不可自为荐约，又不可当面错过。”左思右想，倒无个方便。忽然思量，便和他诗律，投下楼去，以观他如何。倘或因诗成缘，天从人愿，有未可知了。	narrator	scene	middle	character	character portraiture	middle	commentary	beginning	character	commentary	middle	narrator
秦小姐心下想道：“这般玉琢金雕，神态仙模，决非尘俗之从。又有若此般诗才，可是才貌兼备。闺里体面，纵不可自为荐约，又不可当面错过。”左思右想，倒无个方便。忽然思量，便和他诗律，投下楼去，以观他如何。倘或因诗成缘，天从人愿，有未可知了。随取笔砚，拂展花幅，和他杨柳诗。诗云：p_s风最轻柔雨最时，根芽长就六朝枝。傍桥烟浅诗魂瘦，随院春怜画影垂。拖地黄金应自惜，漫天白雪为谁思。流莺若问情长短，试验青青一树绿。p_e写毕，又想道：“他于诗下落款，乃是游赏过境之例套。今我断不可露自己的消息，有碍人见。”遂只作为方胜，掷于楼下，刚才的落于杨公子面前。	character	scene	middle	character	scene	middle	plot	middle	character	commentary	middle	character
黄须的便道：“若是只卜折桂之光，篇篇皆登桂娘歌，无有不可。芳缘之结，又在其中，则一篇之外，岂可再登歌曲。桂娘尚祈樱唇之启，白雪阳春，流水高山，虽难知音，总是桂娘之过于羞涩娇态。”乃复呵呵大笑。少游亦笑，因取诸诗篇看来。张善春游诗云：p_s雨落阶前水满溪，系绳牵出野牛西。风大吹开杨柳絮，片片飞来好似鸡。烟迷隐隐山林见，波起飘飘湖不齐。画也难模春日景，楼中歌曲像莺啼。p_e杨少游看过，呆了无言。	character	scene	middle	character	scene	middle	plot	middle	character	commentary	middle	character
杨少游看过，呆了无言。又看王古颉杨柳诗云：p_s杨柳遇了春之时，生出一枝又一枝。况似绿草树上挂，恰如金线条下垂。穿鱼正好渔翁喜，打马不动奴仆思。有朝一日干枯了，一担柴挑几万丝。p_e看过，又看卢镇赠妓诗云：东风荡荡吹柳枝，诗不成来仔细思。座上如玉一块玉，酒中不语几番痴。杨少游看来三诗，不胜绝倒，陪笑道：“总是珠玉琼章。洛阳素是文章府库，今日益知不虚也。”诸人俱哈哈大笑。	character	scene	middle	character	scene	middle	plot	beginning	narrator	commentary	middle	narrator
少游不觉大笑，心内想道：“总是光棍，黑的，何须较他。只为一番题罢。以看如何光景。”乃取来花笺，抽笔蘸墨，不究思索，随手写下三诗，一笔挥洒。放笔，席上向诸人谢道：“拙构宜先请教诸兄。今日桂娘为考究，不妨先送了宗师罢。”诸人见少游之诗意敏捷，笔势飞腾，虽不知大意惊人，莫不愤愤不快。《春游》是古体长篇，诗云：p_s天津桥下阳春水，天津桥上繁华子。马声回合青云外，人影摇动绿波里。绿波清回玉为砂，青云离披锦作霞。此日遨游遇美女，此时歌舞宿娼家。娼家美女郁金香，飞去飞来公子觞。的的朱帘白日映，娥娥玉颜红粉妆。花际徘徊双蛱蝶，池边顾步两鸳鸯。倾国倾城汉武帝，为云为雨楚襄王。古来容光人所羡，况复今日遥相见。愿作轻罗着细腰，愿为明镜分娇面。与君相向转相亲，与君双栖共一身。p_e	character	character portraiture	middle	character	character portraiture	middle	plot	beginning	character	commentary	middle	character
赠妓一律，云：p_s可怜不世艳，娇美可人心。秋色画双黛，月痕垂一簪。白堕梨花影，香拖杨柳阴。情深不肯浅，欲语又沉吟。p_e	character	scene	middle	character	character portraiture	middle	commentary	beginning	character	character portraiture	beginning	character
杨柳三绝，云：p_s楚客西游路入秦，酒楼来醉洛阳春。月中丹桂谁先折？今代文章自有人。天津桥上杨花飞，珠珀重重映夕辉。侧耳要听歌一曲，锦筵谁复舞罗衣。花枝羞杀玉人妆，未吐纤歌口已香。待得梁尘飞尽后，洞房花烛贺新郎。p_e桂蟾月取诗笺，星眸乍转，春山暂低，从头至尾，看过三篇，便即举手击拍。樱唇一开，清音忽转。端的是穿云裂石，宛然似玉佩齐鸣，余韵悠扬，字正腔直。于是管弦一时，迭作，鼓乐戛云，满座莫不动色。群娥不住的拍掌喝采。	character	scene	middle	character	scene	middle	plot	beginning	narrator	commentary	middle	narrator
小姐叹道：“古之苏若兰，亦当让一头于春娘。”方欲唤醒起来，忽又看他一幅花笺，半掩半斜，略露墨痕，笑道：“春娘独自咏什么诗了？”便随手拿取看时，便是咏鞋一绝，诗云：p_s怜渠最为玉人亲，步步睡随不暂舍。烛灭罗帏解带时，使你抛却象牀下。p_e小姐看毕，心内想道：“不但诗辞之绝妙，春娘以鞋自比，嘲我疏弃之意。斟酌我心，欲其同事一人之意。我岂负春娘之心，还恐惊动他起来，他必害臊了我见诗意了。”便潜起身，开门出外，往太太房中坐下。	character	scene	middle	character	character portraiture	middle	plot	middle	character	commentary	middle	character
俄而晓云葱胧，明星在东。仙娘自起梳妆，谓翰林道：“尘缘已续，天机有定。郎君速还，若有重逢之日，以诗相照。”乃写一诗于罗巾以赠，云：p_s相逢花满天，相别花在地。春色如梦中，弱水杳千里。p_e翰林看毕，吟咏嗟叹，受来藏过身边，不觉离情之黯然，自取汗巾，写下一诗，以赠仙娘，云：天风吹玉佩，白云何披离。巫山何夜雨，愿湿襄王衣。仙娘忙接郎吟，藏之袖中。促令翰林起身，相视凄怆，挥泪分手。	character	scene	middle	character	plot	middle	plot	end	narrator	commentary	middle	character
乃写一诗于罗巾以赠，云：相逢花满天，相别花在地。春色如梦中，弱水杳千里。翰林看毕，吟咏嗟叹，受来藏过身边，不觉离情之黯然，自取汗巾，写下一诗，以赠仙娘，云：p_s天风吹玉佩，白云何披离。巫山何夜雨，愿湿襄王衣。p_e仙娘忙接郎吟，藏之袖中。促令翰林起身，相视凄怆，挥泪分手。翰林步出洞门，伫立回首，真是碧树迭迭，瑞霭朦朦，况若瑶台一梦，怅然回到昨日芳草溪边。	character	scene	middle	character	character portraiture	middle	plot	beginning	character	commentary	middle	character
今又年久，花又不能盛开，犹存余葩残香，倒也可怜，令人发叹。吾辈今着酒兴，须将一杯酒以浇其坟，又以一诗慰他芳魂，岂不是一时的好事么？”翰林道：“兄长之言有趣。”即将一杯酒，满满的酌来，举以浇于坟上，乃以一律之。诗云：p_s美人曾倾国，芳魂已上天。管弦山鸟学，罗绮野花传。古墓空春草，虚楼自暮烟。秦天旧声价，今日为谁边？郑周京复将一杯酒，又以诗吊。诗云：问昔繁华地，谁家窈窕娘？荒凉苏小宅，寂寞薛涛庄。草带罗裙色，花留宝靥香。芳魂招不得，惟有暮鸦翔。p_e两人咏吊罢，一笑，各饮一杯十三复起身彷徨，至颓土崩薄之边，见了一个白罗汗巾，墨迹新润，半埋半露于尘土之间。周京用手拿来看时，便是一首绝句，吟咏一回，诗意极其缱绻，便笑道：“世间原多有心好事者，不知作此多情之事，独自叹伤。”	character	scene	middle	character	character portraiture	middle	commentary	end	character	commentary	middle	narrator
女娘呜咽道：“郎君信他妖道之言，欲绝妾身，妾不敢近前。天缘已尽，从此永诀。”翰林大惊，欲近艳女娘，已远去了。有一纸落在庭前，翰林拾取视之，乃张娘告诀之诗。诗云：p_s昔访佳期蹑彩云，更将清酌酹荒坟。深诚未效恩先绝，不怨郎君怨郑君。p_e翰林大愤，拂衣而搜，果然头髻中坠落朱砂符咒一片来。遂裂破其符，痛恚益切，更把女娘之诗，微吟一度，大悟曰：“张女之怨郑君深矣。此乃郑十三之事也，虽非恶意，沮败好事，非道士之妖，乃郑生也。吾必辱之。” 	character	scene	middle	character	plot	middle	commentary	middle	narrator	commentary	middle	character
翰林大愤，拂衣而搜，果然头髻中坠落朱砂符咒一片来。翰林大怒道：“周京之误我事如是了！”遂拈裂投火，不胜恨叹。须次女娘之诗作为方胜儿，以埋女娘之坟，以俟更来，深藏袖里，诗云：p_s冷然风驭上神云，莫道芳魂寄孤坟。园里百花花底月，故人何处不思君。p_e一番吟罢，不胜愤愤道：“女郎诗云，不怨我而怨郑君。我见周京，必大辱之矣。”次日早起，往访于十三。十三已他出不在家，怀恨归来。三日连忙，一不相遇。翰林无奈，将欲往城南，埋了和诗于女娘之坟矣。	character	scene	middle	character	character portraiture	middle	commentary	beginning	narrator	character portraiture	middle	character
家僮归告道：“桂娘重门深锁，寂无人影。访问邻舍，俱言：桂娘自今春杜门谢客，有时公子王孙来闹门外，桂娘自言出家，换着女道士之服，乘夜出门，今不知所在处。屡访同言，也是确信的。”御史怊怅叹服，遂题一诗于壁上。诗云：p_s雨过天津柳色新，风光宛似去时春。可怜玉郎重来地，不见当垆劝酒人。p_e题罢，一宿无话。次日登程，行了月馀，到了边境。矿民相聚，望见御史威仪，莫不赞叹，举杯向化之心。御史见了府尹，宣布圣化，尽罢矿役，出榜揭晓，发仓赈济。	character	scene	middle	character	commentary	middle	plot	beginning	narrator	commentary	middle	narrator
学士那里知秦彩凤之在女中书之中，又那里敢正眼看见他女中书之面目，只是随呈随题，以承天子庞命。其在秦氏纨扇二诗云：p_s纨扇团团似明月，佳人玉手争皎洁。五弦琴里熏风多，出入怀袖无时歇。纨扇团团月一围，佳人玉手正相随。无劳遮却如花面，春风人间总不知。p_e秦氏受扇，回到房中见那诗词，专然当面不记前日楼上之面，一头怨他，一头怜他，只自竟日啼哭，吞声掩抑，悲不自胜。乃自抽笔，泣题一诗于学士诗下。	character	scene	middle	character	character portraiture	middle	plot	beginning	character	commentary	middle	narrator
秦氏受扇，回到房中见那诗词，专然当面不记前日楼上之面，一头怨他，一头怜他，只自竟日啼哭，吞声掩抑，悲不自胜。乃自抽笔，泣题一诗于学士诗下。诗云：p_s纨扇团如秋月团，忆曾楼上对羞颜。初如咫尺不相识，却悔教君仔细看。p_e写毕，又不禁涕泣。呜咽之际，黄门官索纨扇，秦氏分明青天里打下一个霹雳，登时手拿罗巾，自寻短见。	character	scene	middle	character	character portraiture	middle	commentary	middle	character	commentary	middle	character
此时，逆风连日紧吹，四下里彤云密布，又早纷纷扬扬飞下一天大雪来。怎见得好雪？当日那雪直下到一更天气，却似银铺世界，玉碾乾坤。元帅登了营垒上，回望家国俱杳，禁不住思亲恋君之怀，咏了苏东坡“琼楼玉宇，高处不胜寒”之句，烫酒自酌，连到大觥，酒醺涌上，诗兴发作，便展了花幅，拿起端砚，磨好香墨，蘸笔起来，写下即景五言排律一篇。诗云：p_s一夜北风紧，开门雪尚飘。入泥怜洁白，匝地惜琼瑶。有意荣枯草，无心饰萎苗。价高村酿熟，年稔府梁饶。葭动灰飞管，阳回斗转杓。寒山已失翠，冻浦不生潮。易挂疏枝柳，难堆破叶蕉。麝煤融宝鼎，绮袖笼金貂。光夺窗前镜，香黏壁上椒。斜风仍故故，清梦转聊聊。何处梅花笛，谁家碧玉箫。鳌愁坤轴陷，龙斗阵云销。野岸回孤棹，吟鞭指霸桥。赐裘怜抚戍，加絮念征遥。坳垤审夷险，枝柯怕动摇。皑皑轻趁步，剪剪舞随腰。苦茗成新赏，孤松订久要。泥鸿从印迹，林斧或闻樵。伏像千峰凸，盘蛇一径遥。花缘经冷结，色岂畏霜凋。深院惊寒雀，空山泣孤。阶墀随上下，池水任浮漂。照耀临清晓，缤纷入永宵。诚忘三尺冷，瑞释九重焦。僵卧谁相问，狂游客喜招。天机断缟带，海市失鲛绡。寂寞封台榭，清贫怀簟瓢。烹茶水渐沸，煮酒叶难烧。没帚山僧扫，埋琴稚子挑。石楼闲睡鹤，锦暖亲猫。月窟翻锦浪，霞城隐赤标。沁梅香可嚼，淋竹醉堪调。或湿鸳鸯带，时凝悲翠翘。无风仍脉脉，不雨亦萧萧。欲志今宵兴，凭诗祝舜尧。p_e题罢一咏，尽日痛饮，至晚景无话。自此之后，屯驻军马。过了一旬，正是年除，送旧迎新。提督以下诸将佐，俱贺了新元，宴筵庆祝，几日尽欢。自此，姑不论军情之事。又过了月余，渐渐的云薄风轻，冰消澌流，马息兵休，正拟出兵搦战。	character	scene	middle	character	scene	middle	plot	end	character	commentary	middle	narrator
太后亲自展纸，上写“碧桃花上闻喜鹊”七字为题，道：“诗中俱带丝萝之义，各为趁限制进。”两人才执笔，宫女方才移步。宫女恐公主未能趁七步，犹缓其移武。两公主举笔纵横，俱如惊风骤雨，一时俱到，诗已呈于太后之前，宫女仅移五步半了。太后大喜，次第取览。郑氏诗云：p_s紫禁春花醉碧桃，何来好鸟语咬咬？楼头御妓传新曲，南国夭华与鹊巢。p_e公主诗云：春深宫掖百花繁，灵鹊飞来报喜言。银汉作桥须努力，一时齐渡两天孙。太后览毕，大喜道：“予虽不娴诗章，两女儿诗才如是敏速，诗意易解，俱有至义，诚可爱。当就考于皇上，以定高下，大有评赏。”	character	scene	middle	character	character portraiture	middle	plot	middle	character	commentary	middle	character
宫女恐公主未能趁七步，犹缓其移武。两公主举笔纵横，俱如惊风骤雨，一时俱到，诗已呈于太后之前，宫女仅移五步半了。太后大喜，次第取览。郑氏诗云：紫禁春花醉碧桃，何来好鸟语咬咬？楼头御妓传新曲，南国夭华与鹊巢。公主诗云：p_s春深宫掖百花繁，灵鹊飞来报喜言。银汉作桥须努力，一时齐渡两天孙。p_e太后览毕，大喜道：“予虽不娴诗章，两女儿诗才如是敏速，诗意易解，俱有至义，诚可爱。当就考于皇上，以定高下，大有评赏。”时已日晏，天子承夕候于太后。郑小姐不便便服见至尊，复与兰阳自去寝所。	character	scene	middle	character	plot	middle	commentary	middle	narrator	commentary	middle	character
天子大喜，顾秦氏道：“今你同庆之日，宜续灵鹊之诗，须为制进，以为同考甲乙。”秦氏感激不尽，就将花笺霎时制呈。诗云：p_s喜鹊喳喳绕紫宫，凤仙花上起春风。安巢不待南飞去，三五星稀正在东。p_e太后同皇爷鉴过，大为叹美。皇爷笑道：“篇篇珠玉，各道其情，难以下手，强论甲乙。英阳之诗，引周诗之美，归德于后妃，大得应制之体，当为居甲。兰阳又有虚受之量，当为其次。”一座称叹，仍说些闲话，尽欢而罢。按不下题。	character	scene	middle	character	scene	middle	plot	beginning	narrator	commentary	middle	character
再说贾春娘承太后之旨，同坐冯保母八人彩轿入宫。宫中诸娥见他粉面含春，丹唇点樱，莫不一口称赞。及太后召见，极许肖丽，又命续赋灵鹊诗，以识入宫之喜。春娘把笔展纸，立书一诗，进呈太后前。诗曰：p_s报喜微诚只自知，虞廷幸逐凤凰仪。秦楼春色花千树，三绕宁无借一枝。p_e太后览过，大许诗意之不俗，赏了锦衣一套。春云下庭谢恩而退，又与秦中书相叙隆福庵脉脉不话的情。兰阳取春娘诗看过，道：“春娘犹虑一枝之不能借乎？”相与大笑。从此公主二人，友爱融洽，不下同胞；春娘与秦氏，情投意合，不能暂时相舍。	character	scene	middle	character	character portraiture	middle	commentary	beginning	character	commentary	middle	character
韩兄必有旧咏，虎丘佳境，愿为之传诵，以开茅塞罢。”韩翰林道：“年少时虽有若干写情，何足尘丞相高眼？”魏公坚意求示，韩翰林无奈，不宜忤丞相高谊，遂诵虎丘一诗。诗云：p_s春风处处黄鸟啼，桃花李花争芳菲。花阴笑语人不见，花外香尘暗拂衣。虎丘山寺钟声晓，虎丘山路生芳草。香车宝马往来多，水色山光领略少。我来选胜破春愁，典衣独酌梅花楼。楼中寂寂添幽绪，遥见真娘墓边树。翠钿罗衫化作尘，墓门留得诗人句。镜里娇容想昔时，只今烟袅绿杨枝。可怜不是巫山雨，恼乱襄王起艳思。p_e丞相听罢，称赞不已，道：“兄长宗匠巨笔，可与白香山『脂肤荑手不牢固，世间尤物难留连』之句相上下。”韩翰林道：“这是晚生十三岁时随人谩吟，岂敢当丞相如是过奖了。”	character	scene	middle	character	character portraiture	middle	plot	beginning	character	commentary	middle	character
丞相道：“这菊句不拘次序，随意到便写。自己虽构成七句，他人先写八句，且便用他句罢。”太常笑道：“很好，有趣。但如晚生钝才，多让了诸公几句呢。”丞相笑道：“韩翰林便是大手笔，先题《忆菊》，开首篇以异茅塞罢。”韩翰林谦让一回，先写《忆菊》一律，诗云：p_s怅望西风抱闷思，蓼红苇白断肠时。空篱旧圃秋无迹，冷月清霜梦有知。念念心随归雁远，廖廖坐听晚砧迟。谁怜我为黄花瘦，慰语重阳会有期。p_e	character	scene	middle	character	scene	middle	plot	beginning	character	commentary	middle	character
右（上）《忆菊》，韩浩吉题。题毕，丞相抽笔《访菊》一律，诗云：p_s闲趁霜睛试一游，酒杯乐盏莫淹留。风前月下谁家种？槛外篱傍何处秋？蜡屐远来情得得，冷冷不尽兴悠悠。黄花若解怜诗客，休负今朝挂杖头。p_e	character	scene	middle	character	scene	middle	commentary	middle	character	commentary	middle	narrator
右（上）《访菊》，杨少游题。写罢，郑太常咏《种菊》一诗，诗云：p_s携锄秋圃自移来，篱畔庭前处处栽。昨夜不期经雨活，今朝犹喜带霜开。冷吟秋色诗千首，醉酹寒香酒一杯。泉溉泥封勤护惜，好和井迳绝尘埃。p_e	character	scene	middle	character	scene	middle	commentary	middle	character	commentary	middle	narrator
右（上）《种菊》，郑云镐题。书毕，杨祭酒又写《对菊》一律，诗云：p_s别圃移来贵比金，一丛浅淡一丛深。萧疏篱畔科头坐，清冷香中抱膝呤。数去更无君傲世，看来惟有我知音。秋光荏苒休孤负，相对原宜惜寸阴。p_e	character	scene	middle	character	scene	middle	commentary	middle	character	commentary	middle	character
右（上）《对菊》，杨少琏题。写完，赵翰林醮笔题《供菊》一诗，诗云：p_s弹琴酌酒喜堪俦，几案婷婷点缀幽。隔坐香分三迳露，抛书人对一枝秋。霜清纸帐来新梦，圃冷斜阳忆旧游。傲世也因同气味，春风桃李未淹留。p_e	character	scene	middle	character	scene	middle	commentary	middle	character	commentary	middle	narrator
右（上）《供菊》，赵应度题。题毕，各各称赞。郑太常素才敏好胜，心中必欲多咏十二题菊，正欲写《吟菊》一诗，六句才成，未及八句，韩翰林先题《吟菊》诗云：p_s无耐诗魔昏晓侵，绕篱欹石自沉音。毫端蕴秀临霜写，口角噙香对月吟。满纸自怜题素怨，片言诗解诉秋心。一从陶令评章后，千古高风说到今。p_e	character	scene	middle	character	plot	middle	character portraiture	beginning	narrator	commentary	middle	character
右（上）《吟菊》，浩言。郑太常无奈，正欲写《画菊》，刚才拿笔，丞相先写“画菊”诗云：p_s诗余戏笔不知狂，岂是丹青费较量。聚叶泼成千点墨，攒花染出几痕霜。淡浓神会风前影，跳脱秋生腕底香。莫认东篱闲彩缀，黏屏聊以慰重阳。p_e	character	scene	middle	character	character portraiture	middle	commentary	beginning	character	commentary	middle	character
右（上）《画菊》，少游。写完，又不住笔，连书《问菊》一律，诗云：p_s欲讯秋情众莫知，喃喃负手扣东篱。孤标出世偕谁隐，一样开花为底迟？圃露庭霜何寂寞，雁归蛩病可相思。莫言举世无谈者，解语何妨话片时。p_e	character	scene	middle	character	character portraiture	middle	commentary	middle	narrator	commentary	middle	narrator
右（上）《问菊》，少游。丞相题毕，道：“周京兄无奈疾手的多夺么，何一咏而不复题？”太常只微笑，方欲拿笔书《簪菊》，韩翰林先为忙手蘸笔《簪菊》。太常无奈，只着急让他下笔，诗云：p_s瓶供篱栽日日忙，折来休认盒中妆。长安公子因花癖，彭泽先生是酒狂。短鬓冷沾三迳露，葛巾香染九云霜。高情不入诗人眼，拍手凭他笑路傍。p_e	character	scene	middle	character	scene	middle	plot	middle	character	commentary	middle	narrator
右（上）《簪菊》，浩吉。郑太常不胜躁急。才了，他连忙下笔，直写《菊影》、《菊梦》二诗，诗云：p_s秋光迭迭复重重，潜度偷移三迳中。窗隔疏灯描远近，篱筛破月锁玲珑。寒芳留照魂应驻，霜印传神梦也空。珍重暗香踏碎处，凭谁醉眼认朦龙？p_e	character	scene	middle	character	scene	middle	plot	middle	character	commentary	middle	narrator
右（上）《菊影》，云镐。p_s篱畔秋酣一觉清，和云伴月不分明。登仙非慕庄生蝶，忆旧还寻陶令盟。睡去依依随雁断，惊回故故恼蛩鸣。醒时幽怨同谁诉，衰草寒烟无恨情。p_e	character	scene	middle	character	scene	middle	commentary	middle	character	commentary	middle	narrator
右（上）《菊梦》，云镐。写完，祭酒又续题“残菊”一律，诗云：p_s露凝霜重渐倾欹，宴赏才过小雪时。蒂有余香金淡泊，枝无全叶翠离披。半牀落月蛩声切，万里寒云雁阵迟。明岁秋分知再会，暂时分手莫相思。p_e	character	scene	middle	character	scene	middle	plot	middle	character	commentary	middle	narrator
玉香院兰阳p_s咄咄屏窗封落晖，飞花故故点春衣。支颐静听林莺语，抱膝遥看海燕归。爱把玉钗撩鬓发，闲将金尺整腰围。卖花墙外声声唤，懒得抬身问是非。p_e	character	scene	middle	character	scene	middle	commentary	middle	character	character portraiture	beginning	character
美人忆p_s紫菱洲秦淑人记得离亭折柳条，风姿何处玉聪骄？春情待梦虚鸳枕，世态依人几绨袍。其雨日高谁适沐，曰归河广不容刀。金钱卜惯难凭准，乱剪灯花带泪抛。p_e	character	character portraiture	middle	character	character portraiture	middle	commentary	middle	character	commentary	middle	character
登楼进房，那班娘姨、大姐一片声的叫“杨老”，黛玉亦然高声叫应。杨四见黛玉梳妆未毕，正在那里调脂弄粉，未便起身迎接，口中只说“杨老请坐”。杨四就靠妆台坐下，定睛细看，见今日黛玉的打扮更是不同。有一首诗，单赞他的美处。诗云：p_s珠围翠绕粉香浓，云想衣裳花想容。爱煞卿卿多媚骨，能教蜂蝶尽迷踪。p_e杨四看得出了神，呆呆不语。黛玉问道：“杨老，阿是勿认得奴，只管对奴看嗄？”杨四被他一问，倒有些不好意思，笑了一笑，答道：“你在那里梳妆，我在旁边观看，虽没有与你画眉，我也算做风流张京兆。”	narrator	character portraiture	middle	character	character portraiture	middle	character portraiture	middle	narrator	commentary	middle	narrator
